id,ident,type,name,latitude_deg,longitude_deg,elevation_ft,continent,country_name,iso_country,region_name,iso_region,local_region,municipality,scheduled_service,gps_code,iata_code,local_code,home_link,wikipedia_link,keywords,score,last_updated
30927,DNBI,small_airport,Bida Airport,9.100000381,6.017000198,450,AF,Nigeria,NG,Niger State,NG-NI,NI,Bida,0,DNBI,,,,,,50,2008-08-03T11:27:47+00:00
323025,DNDS,small_airport,Dutse International Airport,11.795168,9.311667,1365,AF,Nigeria,NG,Jigawa State,NG-JI,JI,Dutse,0,DNDS,,,,https://en.wikipedia.org/wiki/Dutse_International_Airport,,50,2017-05-05T17:38:59+00:00
4969,DN55,small_airport,Eket Airport,4.642182,7.94904,47,AF,Nigeria,NG,Akwa Ibom State,NG-AK,AK,Eket,0,DNEK,,,,https://en.wikipedia.org/wiki/Eket_Airstrip,DN55,50,2021-01-27T11:17:20+00:00
323029,DNFB,small_airport,Finima Bonny Airport,4.405856,7.181907,,AF,Nigeria,NG,Rivers State,NG-RI,RI,Finima,0,DNFB,,,,,,50,2021-01-27T11:18:37+00:00
319224,DNJA,small_airport,Jalingo Airport,8.900587,11.27946,685,AF,Nigeria,NG,Taraba State,NG-TA,TA,Jalingo,0,DNJA,,,,https://en.wikipedia.org/wiki/Jalingo_Airport,,50,2016-06-29T02:48:56+00:00
4971,DN57,small_airport,Katsina Airport,13.0078,7.66045,1660,AF,Nigeria,NG,Katsina State,NG-KT,KT,Katsina,0,DKNT,DKA,,http://www.faannigeria.org/nigeria-airport.php?airport=18,https://en.wikipedia.org/wiki/Katsina_Airport,DN57,50,2022-03-04T09:09:38+00:00
330056,NG-0007,small_airport,Lokoja Airstrip,7.801829,6.582793,320,AF,Nigeria,NG,Kogi State,NG-KO,KO,Lokoja,0,,,,,,,50,2019-01-13T11:39:34+00:00
42464,NG-0002,small_airport,Kainji Air Base,9.895279,4.484224,689,AF,Nigeria,NG,Niger State,NG-NI,NI,New Bussa,0,,,,,,"Kainji, Wawa",50,2021-05-19T02:10:35+00:00
430357,NG-0006,small_airport,Okpoma Airport,4.29802,6.27635,47,AF,Nigeria,NG,Bayelsa State,NG-BY,BY,Okpoma,0,,,,,,,50,2022-10-05T17:08:40+00:00
30930,DNOS,small_airport,Oshogbo Airport,7.782999992,4.482999802,997,AF,Nigeria,NG,Osun State,NG-OS,OS,Oshogbo,0,DNOS,,,,,,50,2008-08-03T11:27:48+00:00
